[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:26] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:27] [INFO] [MapEditorScene] Started updating cursor size
